ActivityID,CareType,HCWType,RoomType,Surface,Date,Time,Dev.Date.Time,type,freq,duration
1,IV,RN,SB,AlcOutside,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock,45,11.68333333
1,IV,RN,SB,In,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock,45,11.68333333
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock,45,11.68333333
1,IV,RN,SB,Door,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock,45,11.68333333
1,IV,RN,SB,Other,08/03/2019,27/07/2020 11:08,08/03/2019 11:08,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Tray,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:10,08/03/2019 11:10,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Patient,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
1,IV,RN,SB,Table,08/03/2019,27/07/2020 11:11,08/03/2019 11:11,Mock,45,11.68333333
